Command,Short description
blkid,Volume info incl. UUID
dd,Binary copy for files and volumes
df,Volume occupancy info
fdisk / cfdisk,Partitioning
gdisk / cgdisk,Partitioning
hdparm,Control volume parameters
lsblk,Volume info incl. UUID
mkfs,Format volume
mount,Mount volume
parted,Partitioning
