Command,Short description
alias,Show command abbreviations
apropos,Search available command
bind,Create keyboard shortcut
cdpath,Extended directory navigation
history,Show command history
mc,Terminal file manager (Midnight Commander)
shopt,Set shell option
whatis,Command description
