Command,Short Description
adduser / useradd,Create system account
deluser / userdel,Delete system account
id,Show group membership and UID
passwd,Define system account password
sudo,Change account (default: root)
sudoedit,Change account (default: root)
usermod,Edit system account
visudo,Manage the sudo-rights
