Command,Short Description
dmesg,Kernel protocol ('driver message')
dmidecode,Hardware info
free,Storage occupancy
hardinfo,Infotool (graphical & non-standard)
hwinfo,Hardware info
lsblk,Attached devices info
lscpu,CPU info
lshw,All hardware info
lsmod,Show kernel modules (drivers)
lspci,PCI devices info
lsusb,USB devices info
modprobe,Activate/Deactivate Kernel modules (drivers)
sysbench,CPU/RAM/Volume test
